src,key1,key2,sortorder,firstbook,firstchapter,firstverse
"Hebrew","<LMT=/","NA","plmv","Chronica_I","7","8"
"Hebrew","<LMWN/","NA","plmfn","Josua","21","18"
"Hebrew","<LMWN_DBLTJMH/","NA","plmfn dblvjme","Numeri","33","46"
"Hebrew","<LMWT/","NA","plmfv","Psalmi","9","1"
"Hebrew","<LM[","qal","plm","Psalmi","90","8"
"Hebrew","<LPH/","NA","plqe","Ezechiel","31","15"
"Hebrew","<LP[","pual","plq","Jesaia","51","20"
"Hebrew","<LS[","qal","plo","Iob","20","18"
"Hebrew","<LVH/","NA","plie","Genesis","15","17"
"Hebrew","<LWH/","NA","plfe","Hosea","10","9"
"Hebrew","<LWH=/","NA","plfe","Genesis","36","40"
"Hebrew","<LWMJM/","NA","plfmjm","Jesaia","54","4"
"Hebrew","<LWN/","NA","plfn","Genesis","36","23"
"Hebrew","<LWQH/","NA","plfse","Proverbia","30","15"
"Hebrew","<LY[","qal","plr","Samuel_I","2","1"
"Hebrew","<LZ/","NA","plg","Jesaia","5","14"
"Hebrew","<LZ[","qal","plg","Samuel_II","1","20"
"Hebrew","<M","NA","pm","Genesis","3","6"
"Hebrew","<M/","NA","pm","Genesis","11","6"
"Hebrew","<M<D/","NA","pmpd","Josua","19","26"
"Hebrew","<MCSJ/","NA","pmuoj","Nehemia","11","13"
"Hebrew","<MD/","NA","pmd","Genesis","3","12"
"Hebrew","<MD=/","NA","pmd","Daniel","8","17"
"Hebrew","<MDH/","NA","pmde","Micha","1","11"
"Hebrew","<MD[","qal","pmd","Genesis","18","8"
"Hebrew","<MF>/","NA","pmua","Samuel_II","17","25"
"Hebrew","<MFJ/","NA","pmuj","Chronica_I","6","10"
"Hebrew","<MH/","NA","pme","Exodus","25","27"
"Hebrew","<MH=/","NA","pme","Josua","19","30"
"Hebrew","<MJ/","NA","pmj","Hosea","2","3"
"Hebrew","<MJ>L/","NA","pmjal","Numeri","13","12"
"Hebrew","<MJCDJ/","NA","pmjudj","Numeri","1","12"
"Hebrew","<MJHWD/","NA","pmjefd","Numeri","1","10"
"Hebrew","<MJNDB/","NA","pmjndb","Exodus","6","23"
"Hebrew","<MJR/","NA","pmjt","Jeremia","9","21"
"Hebrew","<MJT/","NA","pmjv","Leviticus","5","21"
"Hebrew","<MJZBD/","NA","pmjgbd","Chronica_I","27","6"
"Hebrew","<ML/","NA","pml","Genesis","41","51"
"Hebrew","<ML=/","NA","pml","Judices","5","26"
"Hebrew","<ML==/","NA","pml","Chronica_I","7","35"
"Hebrew","<MLQ/","NA","pmls","Genesis","36","12"
"Hebrew","<MLQJ/","NA","pmlsj","Genesis","14","7"
"Hebrew","<ML[","qal","pml","Jona","4","10"
"Hebrew","<MM=[","hof","pmm","Threni","4","1"
"Hebrew","<MM[","qal","pmm","Ezechiel","28","3"
"Hebrew","<MNH/","NA","pmne","Josua","18","24"
"Hebrew","<MNW_>L/","NA","pmnf al","Jesaia","7","14"
"Hebrew","<MQ/","NA","pms","Genesis","14","3"
"Hebrew","<MQ=/","NA","pms","Leviticus","13","3"
"Hebrew","<MQ==/","NA","pms","Jesaia","33","19"
"Hebrew","<MQ===/","NA","pms","Proverbia","9","18"
"Hebrew","<MQ[","qal","pms","Psalmi","92","6"
"Hebrew","<MR/","NA","pmt","Exodus","16","16"
"Hebrew","<MR=/","NA","pmt","Leviticus","23","10"
"Hebrew","<MR=[","piel","pmt","Psalmi","129","7"
"Hebrew","<MRH/","NA","pmte","Genesis","10","19"
"Hebrew","<MRJ/","NA","pmtj","Reges_I","16","16"
"Hebrew","<MRM/","NA","pmtm","Exodus","6","18"
"Hebrew","<MRMJ/","NA","pmtmj","Numeri","3","27"
"Hebrew","<MR[","hit","pmt","Deuteronomium","21","14"
"Hebrew","<MSJH/","NA","pmoje","Chronica_II","17","16"
"Hebrew","<MS[","qal","pmo","Genesis","44","13"
